Item name,Category,Description,Data type,Range,Resolution,Units,Service page(s),System(s),See 
i813- Loss Technique,Loss Technique                                    ,Not available,Not available,Not available,Not available,Not available,,Not available,
i814- Loss Of Wedge,Loss Of Wedge                                     ,Not available,Not available,Not available,Not available,Not available,,Not available,
i815- Loss Radiation,Loss Radiation                                    ,Not available,Not available,Not available,Not available,Not available,,Not available,
i816- Gantry Error,Gantry Error                                      ,Not available,Not available,Not available,Not available,Not available,,Not available,
i817- Loss Movements,Loss Movements                                    ,Not available,Not available,Not available,Not available,Not available,,Not available,
i818- TCC Reset,TCC Reset                                         ,Not available,Not available,Not available,Not available,Not available,,Not available,
i819- Free 649 ,Free 649                                          ,Not available,Not available,Not available,Not available,Not available,,Not available,
i820- Geom Range Exc,Geom Range Exc                                    ,Not available,Not available,Not available,Not available,Not available,,Not available,
i821- Dia Incomplete ,Dia Incomplete                                    ,Not available,Not available,Not available,Not available,Not available,,Not available,
i822- Dia Conflict ,Dia Conflict                                      ,Not available,Not available,Not available,Not available,Not available,,Not available,
i823- Dia Collision,Dia Collision                                     ,Not available,Not available,Not available,Not available,Not available,,Not available,
i824- Check Arc/MU ,Check Arc/MU                                      ,Not available,Not available,Not available,Not available,Not available,,Not available,
i825- Mode Incompat,Mode Incompat                                     ,Not available,Not available,Not available,Not available,Not available,,Not available,
i826- Opcode Incompat,Opcode Incompat                                   ,"The opcode of the message defining the segment is incompatible with the technique specified in the message For example, the message opcode is ""Put_move_only_code"" but the technique is ""ICG_Static_segment"".",Not available,Not available,Not available,Not available,,Not available,
i827- Require Move,Require Move                                      ,Not available,Not available,Not available,Not available,Not available,,Not available,
i828- S/W Error 658  ,S/W Error 658                                     ,Not available,Not available,Not available,Not available,Not available,,Not available,
i829- Start/Stop Val ,Start/Stop Val                                    ,Not available,Not available,Not available,Not available,Not available,,Not available,
i830- S/W Loading,S/W Loading                                       ,Not available,Not available,Not available,Not available,Not available,,Not available,
i831- Saving,Saving                                            ,Not available,Not available,Not available,Not available,Not available,,Not available,
i832- Backup ,Backup                                            ,Not available,Not available,Not available,Not available,Not available,,Not available,
i833- Database Fault,Database Fault                                    ,Not available,Not available,Not available,Not available,Not available,,Not available,
i834- Check Fail,Check Fail                                        ,This message indicates the reason for a Termination Check Failure as being related to the Data Base Settings.   ,Not available,Not available,Not available,Not available,,Not available,
i835- Dose Rate Error ,Dose Rate Error                                   ,In the event that the beam transport system fails it is possible that continued radiation will cause excessive leakage due to the beam intercepting the accelerating structure. To prevent this happening a Low Dose Rate Interlock  is implemented. This interlock will trip at 75% of the nominal dose rate after  a period of 10 seconds.   ,Not available,Not available,Not available,Not available,,Not available,
i836 - Power Save Mode,Power Save Mode,Not available,Not available,Not available,Not available,Not available,,Not available,
i840 - SCGS License,SCGS License,There is a problem with the SCGS licensing.,Not available,Not available,Not available,Not available,,Not available,
i841 - Gating Intent Changed,Gating Intent Changed,Gating intent has been changed since treatment start.,Not available,Not available,Not available,Not available,,Not available,
i842 - MCG Comms Loss,MCG Comms Loss,Communications has been lost with the MCG.,Not available,Not available,Not available,Not available,,Not available,
i843 - MCG Comms Error,MCG Comms Error,There has been an issue communicating with the MCG.,Not available,Not available,Not available,Not available,,Not available,
i844 - MCG Error,MCG Error,The MCG has reported an error.,Not available,Not available,Not available,Not available,,Not available,
i845 - MCG In Diagnostics,MCG In Diagnostics,MCG diagnostics error.,Not available,Not available,Not available,Not available,,Not available,
i846 - Beam Hold Too Long,Beam Hold Too Long,A gating system has held the beam too long.,Not available,Not available,Not available,Not available,,Not available,
i847 - Beam Quality Error,Beam Quality Error,A gating system has degraded beam quality.,Not available,Not available,Not available,Not available,,Not available,
i848 - SCGS Present,SCGS Present,The SCGS is connected to the system when it is not licenced for single client gating.,Not available,Not available,Not available,Not available,,Not available,
i849 - SCGS Button Pressed,SCGS Button Pressed,The SCGS button is being pressed,Not available,Not available,Not available,Not available,,Not available,
i850 - PPMS 1 In Error,PPMS 1 In Error,Gating system 1 has raised an error.,Not available,Not available,Not available,Not available,,Not available,
i851 - PPMS 2 In Error,PPMS 2 In Error,Gating system 2 has raised an error.,Not available,Not available,Not available,Not available,,Not available,
i852 - PPMS 3 In Error,PPMS 3 In Error,Gating system 3 has raised an error.,Not available,Not available,Not available,Not available,,Not available,
i853 - PPMS 4 In Error,PPMS 4 In Error,Gating system 4 has raised an error.,Not available,Not available,Not available,Not available,,Not available,
i854 - PPMS 5 In Error,PPMS 5 In Error,Gating system 5 has raised an error.,Not available,Not available,Not available,Not available,,Not available,
i855 - PPMS 6 In Error,PPMS 6 In Error,Gating system 6 has raised an error.,Not available,Not available,Not available,Not available,,Not available,
i856 - PPMS 7 In Error,PPMS 7 In Error,Gating system 7 has raised an error.,Not available,Not available,Not available,Not available,,Not available,
i857 - PPMS 8 In Error,PPMS 8 In Error,Gating system 8 has raised an error.,Not available,Not available,Not available,Not available,,Not available,
i858 - PPMS 1 Lost,PPMS 1 Lost,Communications with gating system 1 has been lost.,Not available,Not available,Not available,Not available,,Not available,
i859 - PPMS 2 Lost,PPMS 2 Lost,Communications with gating system 2 has been lost.,Not available,Not available,Not available,Not available,,Not available,
i860 - PPMS 3 Lost,PPMS 3 Lost,Communications with gating system 3 has been lost.,Not available,Not available,Not available,Not available,,Not available,
i861 - PPMS 4 Lost,PPMS 4 Lost,Communications with gating system 4 has been lost.,Not available,Not available,Not available,Not available,,Not available,
i862 - PPMS 5 Lost,PPMS 5 Lost,Communications with gating system 5 has been lost.,Not available,Not available,Not available,Not available,,Not available,
i863 - PPMS 6 Lost,PPMS 6 Lost,Communications with gating system 6 has been lost.,Not available,Not available,Not available,Not available,,Not available,
i864 - PPMS 7 Lost,PPMS 7 Lost,Communications with gating system 7 has been lost.,Not available,Not available,Not available,Not available,,Not available,
i865 - PPMS 8 Lost,PPMS 8 Lost,Communications with gating system 8 has been lost.,Not available,Not available,Not available,Not available,,Not available,
i866 - PPMS 1 Lost,PPMS 1 Lost,Error communicating with gating system 1.,Not available,Not available,Not available,Not available,,Not available,
i867 - PPMS 2 Lost,PPMS 2 Lost,Error communicating with gating system 2.,Not available,Not available,Not available,Not available,,Not available,
i868 - PPMS 3 Lost,PPMS 3 Lost,Error communicating with gating system 3.,Not available,Not available,Not available,Not available,,Not available,
i869 - PPMS 4 Lost,PPMS 4 Lost,Error communicating with gating system 4.,Not available,Not available,Not available,Not available,,Not available,
